"Datum","Zürich Stampfenbachstrasse","Zürich Stampfenbachstrasse","Zürich Stampfenbachstrasse","Zürich Stampfenbachstrasse","Zürich Stampfenbachstrasse","Zürich Stampfenbachstrasse","Zürich Stampfenbachstrasse","Zürich Stampfenbachstrasse","Zürich Stampfenbachstrasse","Zürich Stampfenbachstrasse","Zürich Stampfenbachstrasse","Zürich Stampfenbachstrasse","Zürich Stampfenbachstrasse","Zürich Schimmelstrasse","Zürich Schimmelstrasse","Zürich Schimmelstrasse","Zürich Schimmelstrasse","Zürich Schimmelstrasse","Zürich Schimmelstrasse","Zürich Schimmelstrasse","Zürich Heubeeribüel","Zürich Heubeeribüel","Zürich Heubeeribüel","Zürich Heubeeribüel","Zürich Rosengartenstrasse","Zürich Rosengartenstrasse","Zürich Rosengartenstrasse","Zürich Rosengartenstrasse","Zürich Rosengartenstrasse"
2012-04-10,2.59,0.3,94.66,0,27.97,14.25,"NaN",12.69,55.6,950.49,1.85,232.8,16.2,3.04,0.41,84.45,0,40.42,27.28,11.92,95.47,0,9.35,1.75,"NaN","NaN","NaN","NaN","NaN"
2012-04-11,1.72,0.28,85.98,0,26.44,9.68,8.03,7.21,81.46,952.06,2.31,74.75,590.47,2.09,0.32,79.33,0,30.59,12.6,3.88,83.61,0,12.22,1.59,"NaN","NaN","NaN","NaN","NaN"
2012-04-12,1.97,0.3,76.17,0,28.73,13.81,8.62,7.16,79.73,953.83,2.06,104.6,570.43,2.38,0.4,75.89,0,43.24,28.98,10.24,83.1,0,13.41,2.26,"NaN","NaN","NaN","NaN","NaN"
2012-04-13,1.99,0.36,78,0,32.91,18.48,8.32,8.56,68.87,953.3,1.49,157.19,190.57,2.27,0.38,74.06,0,42.76,23.72,10.36,90.25,0,9.19,0.96,"NaN","NaN","NaN","NaN","NaN"
2012-04-14,2.33,0.33,57.49,0,31.87,10.54,20.89,8.61,72.02,949.15,1.53,62.98,167.93,2.24,0.41,58.35,0,35.72,17.35,21.44,68.46,0,16.89,1.3,"NaN","NaN","NaN","NaN","NaN"
2012-04-15,2.18,0.28,66.63,0,22.73,5.02,18.35,7.99,79.78,951.38,2.21,19.67,542.79,2.14,0.37,66.96,0,26.79,9.1,19.25,74,0,10.96,0.69,"NaN","NaN","NaN","NaN","NaN"
2012-04-16,1.95,0.33,70.77,0,36.93,17.26,14.9,6.03,83.06,962.87,1.9,60.77,802.95,1.85,0.38,71.47,0,40.88,25.24,14.36,76.31,0,14.64,1.07,"NaN","NaN","NaN","NaN","NaN"
2012-04-17,2.45,0.35,82.51,0,32.99,16.7,17.57,7.43,60.61,960.23,1.7,233.96,16.63,2.71,0.43,75.29,0,44.43,29.9,20.01,91.02,0,15.72,2.1,"NaN","NaN","NaN","NaN","NaN"
2012-04-18,2.2,0.32,82.37,0,32.73,12.13,13.36,7.51,72.52,948.98,2.39,130.42,262.4,2.45,0.34,84.36,0,33.73,12.14,10.82,85.46,0,15.61,1.78,"NaN","NaN","NaN","NaN","NaN"
2012-04-19,2.54,0.3,87.27,0,30.93,13.88,9.7,8.9,66.13,944.43,1.46,163.47,94.69,2.9,0.39,84.37,0,42.29,26.06,11.31,90.83,0,12.95,2.03,"NaN","NaN","NaN","NaN","NaN"
2012-04-20,2.05,0.28,81.22,0,23.99,8.33,8.45,8.39,68.5,950.03,1.92,125.59,151.05,2.26,0.36,89.27,0,33.85,15.77,5.46,86.15,0,11.17,1.42,"NaN","NaN","NaN","NaN","NaN"
2012-04-21,2.01,0.21,95.42,0,9.21,2.33,4.47,10.02,62.42,954.31,3.1,189.38,343.1,2.17,0.28,94.28,0,17.73,5.61,4.84,96.42,0,6.09,0.84,"NaN","NaN","NaN","NaN","NaN"
2012-04-22,1.85,0.2,90.87,0,6.94,1.83,3.61,7.93,70.2,959.9,2.86,184.4,225.82,1.88,0.28,93.81,0,16.17,5.34,7.13,90.66,0,5.31,0.85,"NaN","NaN","NaN","NaN","NaN"
2012-04-23,2.06,0.28,86.95,0,24.39,10.87,7.96,9.08,69.53,955.46,1.21,174.92,362.18,2.28,0.38,77.3,0,38.15,20.76,4.45,97.62,0,11.46,1.49,"NaN","NaN","NaN","NaN","NaN"
2012-04-24,1.83,0.23,103.86,0,18.55,6.72,7.34,8.53,71.58,951.21,3.42,136.25,306.58,2.11,0.31,103,0,29.46,12.64,5.35,102.59,0,10.02,1.35,"NaN","NaN","NaN","NaN","NaN"
2012-04-25,2.84,0.41,87.3,0,45.19,20.19,12.38,10.84,61.06,955.12,1.26,197.63,0,3.41,0.49,87.77,0,58.1,32.15,15.87,88.36,0,18.57,3.05,"NaN","NaN","NaN","NaN","NaN"
2012-04-26,3.03,0.44,94.29,0,45.05,27.33,16.37,15.55,50.48,958.17,1.38,298.17,0,3.38,0.52,94.59,0,59.98,49.23,20.79,111.43,0,10.12,2.33,"NaN","NaN","NaN","NaN","NaN"
2012-04-27,3.02,0.42,100.53,0,43.7,18.94,21.89,17.43,54.02,964.43,1.46,266.28,0,3.5,0.57,100.12,0,65.85,38.64,26.28,117.47,0,14.49,2.36,"NaN","NaN","NaN","NaN","NaN"
2012-04-28,2.35,0.31,112.71,0,24.42,6.61,27.01,21.83,38.93,960.93,3.94,285.72,0,3.12,0.4,112.14,0,35.71,16.23,27.4,118.14,0,5.53,0.85,"NaN","NaN","NaN","NaN","NaN"
2012-04-29,2.03,0.19,115.94,0,7.21,1.97,15.62,22.02,34.7,957.44,3.97,217.73,0,1.84,0.3,116.12,0,16.52,5.33,15.42,120.19,2,3.85,0.58,"NaN","NaN","NaN","NaN","NaN"
2012-04-30,2.24,0.28,93.14,0,26.85,9.57,15.5,17,52.91,962.04,2.23,169.1,0,1.9,0.37,89.15,0,41.45,23.47,18.08,116.25,0,8.71,1.04,"NaN","NaN","NaN","NaN","NaN"
2012-05-01,2.12,0.21,108.45,0,10.63,2.9,7.4,15.2,55.12,965.76,1.43,168.91,95.47,1.84,0.32,106.04,0,22.2,7.58,11.82,108.53,0,5.64,0.67,"NaN","NaN","NaN","NaN","NaN"
2012-05-02,1.84,0.23,99.44,0,17.16,5.86,11.24,14.59,65.9,964.34,2.42,243.42,68.53,1.84,0.33,96.96,0,30.16,12.99,7.97,101.72,0,8.74,1.38,"NaN","NaN","NaN","NaN","NaN"
2012-05-03,2.32,0.29,103.64,0,29.63,10.54,13.06,15.39,56.25,962.61,1.25,269.25,0,2.27,0.4,105.17,0,42.98,23.32,13.65,113.71,0,14.27,2.3,"NaN","NaN","NaN","NaN","NaN"
2012-05-04,1.79,0.3,113.16,0,30.92,13.55,15.37,16.89,51.39,956.77,1.18,296.37,99.43,2.58,0.4,108.91,0,44.08,21.68,14.37,119.82,0,11.41,1.97,"NaN","NaN","NaN","NaN","NaN"
2012-05-05,1.13,0.23,94.68,0,16.44,4.93,7.85,13.2,77.66,956.86,2.04,139.62,692.33,1.61,0.28,93.74,0,22.2,5.49,8.12,99.38,0,5.54,0.69,"NaN","NaN","NaN","NaN","NaN"
2012-05-06,1.07,0.23,90.61,0,15.43,4.83,4.73,11.86,77.81,960.66,1.8,135.48,308.06,1.8,0.29,91.09,0,19.46,5.16,"NaN",86.63,0,4.72,0.66,"NaN","NaN","NaN","NaN","NaN"
2012-05-07,1.37,0.34,83.9,0,36.75,20.08,9.15,13.07,68.39,966.55,0.97,190.3,100.9,2.31,0.43,69.61,0,48.16,29.16,"NaN",98.81,0,10.23,1.52,"NaN","NaN","NaN","NaN","NaN"
2012-05-08,1.2,0.31,96.59,0,35.03,16.56,12.72,14.8,63.62,965.91,1.26,240.46,267.82,2.52,0.42,82,0,45.42,30.54,16.13,103.18,0,11.78,2.04,"NaN","NaN","NaN","NaN","NaN"
2012-05-09,0.57,0.36,55.59,0,37.31,20.04,15.01,15.44,84.6,968.54,1.17,154.37,579.83,1.83,0.42,48.35,0,44.79,24.08,12.77,60.91,0,12.61,1.82,"NaN","NaN","NaN","NaN","NaN"
2012-05-10,0.98,0.44,83.88,0,40.83,31.31,18.13,19.68,65.54,972.13,1.08,301.21,0,1.91,0.5,86.66,0,47.57,46.67,17.94,86.79,0,15.9,6.47,"NaN","NaN","NaN","NaN","NaN"
2012-05-11,0.99,0.32,105.83,0,34.04,15.05,18.29,23.34,45.68,972.81,1.56,311.15,0,2.13,0.39,94.74,0,39.7,17.26,17.26,104.93,0,9.13,1.37,"NaN","NaN","NaN","NaN","NaN"
2012-05-12,0.26,0.29,69.49,0,23.9,8.96,12.6,13.49,81.75,977.56,1.65,38.86,739.08,1.47,0.35,70.59,0,32.95,14.64,11.16,77.18,0,7.74,0.75,"NaN","NaN","NaN","NaN","NaN"
2012-05-13,0.84,0.24,102.92,0,13.95,4.95,12.24,11.22,53.08,974.99,2.68,281.52,0,1.85,0.31,100.98,0,18.27,6.81,13.22,101,0,4.83,0.57,"NaN","NaN","NaN","NaN","NaN"
2012-05-14,1.43,0.34,105.98,0,35.61,14.81,13.09,11.73,45.08,967.65,1.66,343.39,0,2.65,0.4,101.41,0,48.05,28.38,14.32,108.81,0,8.4,1.53,"NaN","NaN","NaN","NaN","NaN"
2012-05-15,1.5,0.26,103.22,0,27.11,8.49,16.13,11.49,55.08,962.46,2.81,280.78,81.88,2.83,0.37,98.47,0,38.93,22.54,17.54,93.24,0,11.13,1.51,"NaN","NaN","NaN","NaN","NaN"
2012-05-16,1.08,0.22,88.53,0,16.75,4.82,7.34,7.72,68.35,971.07,2.77,141.26,401.63,2.06,0.33,88.24,0,26.69,15.28,7.51,79.07,0,9.47,1.35,"NaN","NaN","NaN","NaN","NaN"
2012-05-17,1.61,0.24,97.26,0,13.62,4.38,7.44,10.65,56.58,968.61,1.97,331.18,0,2.13,0.32,92.76,0,19.41,6.59,8.33,92.36,0,3.94,0.56,"NaN","NaN","NaN","NaN","NaN"
2012-05-18,1.8,0.33,82.99,0,35.93,13.12,16.13,13.54,65.62,961.71,1.32,118.13,147.77,2.61,0.42,80.07,0,46.28,23.85,17.47,70.8,0,15.58,2.17,"NaN","NaN","NaN","NaN","NaN"
2012-05-19,1.7,0.32,104.45,0,26.49,6.64,20,17.42,63.86,960.67,1.3,227.6,54.62,2.52,0.42,96.35,0,37.17,12.79,20.15,102.96,0,8.15,0.98,"NaN","NaN","NaN","NaN","NaN"
2012-05-20,1.65,0.27,93.92,0,21.88,4.59,14.93,18.35,55.73,954.93,1.36,212.49,1.9,2.45,0.34,95.46,0,28.63,6.34,13.57,94.23,0,5.54,0.73,"NaN","NaN","NaN","NaN","NaN"
2012-05-21,1.23,0.27,95.26,0,27.89,9.22,11.72,16.48,72.13,950,1.38,195.55,277.32,1.81,0.39,81.84,0,44.27,26.59,12.62,87.38,0,12.59,1.48,"NaN","NaN","NaN","NaN","NaN"
2012-05-22,1.08,0.28,93.37,0,24.57,9.35,7.81,16.42,70.22,957.71,1.36,242.63,294.97,1.6,0.35,85.82,0,34.74,19.23,9.12,102.16,0,8.46,1.22,"NaN","NaN","NaN","NaN","NaN"
2012-05-23,0.93,0.38,64.8,0,35.31,16.29,20.59,16.26,86.42,969.39,1.01,97.46,354.3,1.53,0.46,69.49,0,43.66,26.96,22.51,70.39,0,18.59,2.77,"NaN","NaN","NaN","NaN","NaN"
2012-05-24,0.98,0.43,99.73,0,39.6,17.67,31.88,19.13,76.79,971.65,1.73,237.86,73.07,1.6,0.45,107.29,0,45.01,24.88,33.9,116.59,0,12.63,1.65,"NaN","NaN","NaN","NaN","NaN"
2012-05-25,1.27,0.3,126.15,3,28.13,8.96,23.68,19.25,53.24,968.51,2.9,337.94,0.02,1.97,0.34,123.94,3,34.6,17.56,21.69,126.91,4,9.89,1.32,"NaN","NaN","NaN","NaN","NaN"
2012-05-26,1.71,0.28,133.82,8,19.82,5.08,17.78,18.49,41.57,967.12,2.58,348.2,0,2.68,0.33,137.8,9,27.75,9.15,20.61,132.33,7,6.61,0.74,"NaN","NaN","NaN","NaN","NaN"
2012-05-27,2.2,0.31,125.05,3,21.98,4.42,20.56,17.14,46.01,966.75,1.72,243.55,0.02,3.24,0.35,132,4,27.49,6.56,19.83,119.73,0,6.52,0.6,"NaN","NaN","NaN","NaN","NaN"
2012-05-28,1.79,0.3,124.93,7,19.81,3.09,17.39,19.16,46.75,965.6,1.04,318.28,0,2.78,0.36,119.91,0,27.22,6.27,19.92,114.81,0,6.24,0.63,"NaN","NaN","NaN","NaN","NaN"
2012-05-29,1.54,0.37,117.56,0,39.12,11.96,26.2,20.21,50.52,965.06,1.17,271.15,147.85,2.24,0.39,110.51,0,48.72,13.98,18.85,117.34,0,9.48,1.08,"NaN","NaN","NaN","NaN","NaN"
2012-05-30,1.52,0.32,142.74,7,37.61,12.06,22.6,20.45,53.71,967.73,1.32,322.03,31.13,1.83,0.4,132.12,5,51.12,19,20.63,135.96,6,11.79,1.95,"NaN","NaN","NaN","NaN","NaN"
2012-05-31,1.2,0.24,114.75,0,21.09,6.27,19.13,19.89,61.21,969,2.33,275.75,92.75,1.28,0.3,115.7,0,30.7,11.91,14.78,117.13,0,9.14,1.15,"NaN","NaN","NaN","NaN","NaN"
2012-06-01,1.23,0.26,90.11,0,23.11,7.57,19.89,18.37,61.2,967.98,1.99,117.9,0,1.5,0.32,96.12,0,35,17.63,15.88,89.58,0,12.05,1.17,"NaN","NaN","NaN","NaN","NaN"
2012-06-02,1.38,0.3,95.64,0,21.9,7.28,11.66,21.05,55.02,964.14,1.21,330.51,0,1.44,0.37,94.71,0,34.47,14.89,15.93,103.34,0,8.36,0.99,"NaN","NaN","NaN","NaN","NaN"
2012-06-03,1.14,0.25,95.49,0,17.42,3.7,13.16,17.82,78.25,961.44,2.04,59.53,737.67,1.1,0.28,105.44,0,18.91,4.73,13.06,94.74,0,7.09,0.75,"NaN","NaN","NaN","NaN","NaN"
2012-06-04,1.02,0.21,84.24,0,19.94,8.35,8.62,14.63,78.21,963.36,2.19,135.47,440.92,1.22,0.27,84.88,0,27.04,12.9,7.25,90.11,0,8.04,1.33,"NaN","NaN","NaN","NaN","NaN"
2012-06-05,1.32,0.32,68.19,0,34.21,20.38,12.61,13.48,66.54,966.46,1.32,206.94,97.62,1.49,0.38,73.68,0,43.96,30.56,12.29,82.43,0,10.23,1.39,"NaN","NaN","NaN","NaN","NaN"
2012-06-06,1.23,0.32,68.96,0,34.82,15.48,18.83,15.84,75.55,961.54,2.06,94.27,157.48,2.13,0.36,72.09,0,39.12,17.83,12.07,76.45,0,18.39,2.64,"NaN","NaN","NaN","NaN","NaN"
2012-06-07,1.15,0.33,86.57,0,31.6,16.45,16.77,19.3,73.79,958.13,1.79,240.91,339.17,1.5,0.35,98.85,0,36.19,19.46,13.36,109.21,0,11.02,2.76,"NaN","NaN","NaN","NaN","NaN"
2012-06-08,0.99,0.25,69.6,0,26.86,10.8,9.56,16.1,84.18,962.49,2,98.47,562.58,0.88,0.34,73.81,0,41.77,24.54,9.04,83,0,9.65,1.28,"NaN","NaN","NaN","NaN","NaN"
2012-06-09,1.11,0.2,83.78,0,11.97,3.7,11.4,15.8,69.52,965.69,2.02,201.82,145.9,1.18,0.27,86.29,0,22.85,8.33,10.76,90.26,0,4.79,0.7,"NaN","NaN","NaN","NaN","NaN"
2012-06-10,1.17,0.23,82.25,0,13.76,5.57,9.31,14.27,77.66,961.38,1.17,180.24,637.25,1.24,0.28,90.73,0,21.81,6.32,9.48,90.42,0,4.25,0.61,"NaN","NaN","NaN","NaN","NaN"
2012-06-11,1.14,0.19,70.58,0,14.39,4.98,7.37,15.82,74.81,955.79,2.35,243.98,288.82,1.32,0.25,74.07,0,22.07,10.47,3.84,73.27,0,6.79,1.24,"NaN","NaN","NaN","NaN","NaN"
2012-06-12,1.05,0.22,64.1,0,23.78,8.45,6.71,12.58,88.8,956.37,1.93,49.17,1090.88,1.37,0.29,70.46,0,31.34,15.1,6.75,65.63,0,11.21,1.27,"NaN","NaN","NaN","NaN","NaN"
2012-06-13,1.18,0.21,72.33,0,18.1,5.38,8.31,13.5,78.09,965.18,2,179.05,305.57,1.5,0.32,73.11,0,28.3,15.52,9.43,76.48,0,8.13,1.26,"NaN","NaN","NaN","NaN","NaN"
2012-06-14,1.51,0.33,82.07,0,32.97,18.25,"NaN",16,64.63,967.72,1,344.09,0,1.97,0.4,96.84,0,43.32,27.71,10.04,100.55,0,9.6,2.67,"NaN","NaN","NaN","NaN","NaN"
2012-06-15,1.6,0.35,130.1,4,37.26,14.01,17.9,20.62,59.19,967.25,1.15,334.32,0,2.22,0.46,120.59,1,51.75,23.34,20.88,141.44,5,12.53,1.98,"NaN","NaN","NaN","NaN","NaN"
2012-06-16,1.56,0.27,134.3,6,19.21,3.91,21.34,23.87,51.96,967.76,1.56,350.66,0,1.65,0.37,129.12,4,31.88,7.28,20.43,140.93,7,6.17,0.77,"NaN","NaN","NaN","NaN","NaN"
2012-06-17,1.3,0.23,99.93,0,12.39,4.04,13.09,21.33,62.04,970.6,1.33,311.7,0,1.22,0.31,105.69,0,20.01,6.39,14.74,106.93,0,3.54,0.65,"NaN","NaN","NaN","NaN","NaN"
2012-06-18,1.27,0.29,130.59,2,25.19,7.94,24.37,24.15,59.36,967.12,1.5,306.62,0.28,1.43,0.41,119.83,0,43.54,18.71,23.77,135.15,5,9.85,1.58,"NaN","NaN","NaN","NaN","NaN"
2012-06-19,1.14,0.28,118.11,0,28.67,9.06,22.33,23.5,65.99,966.58,1.41,251.57,15.97,1.23,0.39,126.2,1,44.5,19.86,25.29,132.23,2,12.42,1.5,"NaN","NaN","NaN","NaN","NaN"
2012-06-20,1.1,0.25,75.32,0,24.61,8.72,22.72,21.12,74.6,964.88,1.39,137.81,183.62,0.96,0.39,81.47,0,43.68,25.04,21.22,91.32,0,9.77,1.11,"NaN","NaN","NaN","NaN","NaN"
2012-06-21,1.13,0.28,97.56,0,27.52,13.17,20.4,21.15,73.34,962.61,1.17,279.4,63.23,0.9,0.39,88.75,0,42.2,31.85,16.59,111.61,0,11.02,2.34,"NaN","NaN","NaN","NaN","NaN"
2012-06-22,1.26,0.2,93.69,0,16.18,5.59,14.13,18.87,58.9,970.73,1.55,278.07,16.07,1.13,0.37,80.49,0,43.82,27.23,17.18,101.07,0,6.25,1.11,"NaN","NaN","NaN","NaN","NaN"
2012-06-23,1.47,0.22,102.01,0,15.92,4.9,15.59,20.06,46.82,973.17,1.12,330.78,0,1.38,0.35,101.61,0,31.23,13.32,17.49,105.05,0,4.52,0.69,"NaN","NaN","NaN","NaN","NaN"
2012-06-24,1.46,0.24,108.79,0,18.06,3.68,17.06,20.35,56,969.08,1.76,261.71,58.4,1.62,0.34,106.55,0,26.5,7.89,19.05,104.1,0,8.69,0.86,"NaN","NaN","NaN","NaN","NaN"
2012-06-25,1.22,0.18,90.94,0,15.24,5.66,7.41,18.35,72.16,968.41,2.69,195.67,523.85,1.11,0.27,93.4,0,25.19,17.53,7.45,89.4,0,7.16,1.31,"NaN","NaN","NaN","NaN","NaN"
2012-06-26,1.27,0.26,61.64,0,30.35,16.29,12.57,18.52,67.18,971.8,1.78,157.32,0.95,1.46,0.31,69.07,0,32.8,21.62,11.03,71.78,0,9.65,1.78,"NaN","NaN","NaN","NaN","NaN"
2012-06-27,1.23,0.29,90.21,0,28.85,13.32,11.9,22.14,63.88,970.05,1.32,291.18,0,1.18,0.33,87.52,0,34.68,17.34,11.48,98.48,0,8.09,1.37,"NaN","NaN","NaN","NaN","NaN"
2012-06-28,1.19,0.44,102.47,0,49.37,20.33,25.6,23.72,65.77,963.17,1.12,262.56,50.97,1.34,0.48,111.38,0,58.46,26.41,25.09,128.18,2,13.68,2.58,"NaN","NaN","NaN","NaN","NaN"
2012-06-29,1.24,0.36,133.17,3,37.47,12.85,40.19,26.17,63.09,961.68,1.45,308.12,93.05,1.08,0.4,129.85,3,47.16,13.6,35.89,149.21,6,10.91,1.35,"NaN","NaN","NaN","NaN","NaN"
2012-06-30,1.21,0.28,126.22,5,22.34,5.92,39.25,25.32,65.7,962.54,1.39,301.27,39.6,0.9,0.37,153.92,7,35.03,12.12,38.6,137.07,6,8.94,1.12,"NaN","NaN","NaN","NaN","NaN"
2012-07-01,1.15,0.23,75.72,0,17.9,6.01,15,18.41,87.96,968.04,1.46,46.91,431.88,0.87,0.3,78.25,0,26.97,9.18,17.07,82.83,0,6.1,0.75,"NaN","NaN","NaN","NaN","NaN"
2012-07-02,1.1,0.3,51.22,0,30.81,18.42,13.92,17.69,87.12,967.5,1.41,121.13,673.57,0.84,0.38,56.97,0,45.06,32.35,14.96,62.8,0,11.67,1.51,"NaN","NaN","NaN","NaN","NaN"
2012-07-03,1.16,0.31,60.74,0,28.27,15.9,12.79,17.86,86.24,967.84,1.08,112.16,304,0.84,0.46,50.89,0,49.06,45.44,"NaN",70.04,0,12.67,2.33,"NaN","NaN","NaN","NaN","NaN"
2012-07-04,1.18,0.37,81.95,0,34.44,19.26,21.55,20.07,78.3,964.17,1.3,204.35,10.9,1.13,0.42,91.42,0,43.26,28.32,"NaN",92.48,0,10.34,1.99,"NaN","NaN","NaN","NaN","NaN"
2012-07-05,1.25,0.34,102.21,0,35.77,16.42,19.18,21.22,73.99,961.44,0.95,255.78,48.1,1.2,0.4,102.93,0,43.7,22.53,18.1,116.45,0,12.09,2.27,"NaN","NaN","NaN","NaN","NaN"
2012-07-06,1.23,0.35,92.14,0,44.87,19.68,13.72,18.02,83.75,963.7,0.88,57.55,480.35,1.08,0.44,91.32,0,56.47,28.98,15.84,88.78,0,16.79,1.75,"NaN","NaN","NaN","NaN","NaN"
2012-07-07,1.35,0.28,94.82,0,22.67,8.13,13.37,20.7,68.28,963.9,0.9,306.31,40.23,1.26,0.37,91.38,0,33.25,10.98,17.28,104.56,0,6.05,1.32,"NaN","NaN","NaN","NaN","NaN"
2012-07-08,1.37,0.23,93.3,0,13.55,4.02,9.35,20.6,65.74,962.4,1.73,223.71,77.95,1.28,0.37,92.2,0,29.24,11.37,13.94,92.36,0,4.34,0.99,"NaN","NaN","NaN","NaN","NaN"
2012-07-09,1.41,0.25,90.24,0,21.22,9.56,9.21,21.63,54.84,965.21,1.14,307.12,68.67,1.37,0.35,97.28,0,37.21,21.12,10.7,103.87,0,6.38,1.36,"NaN","NaN","NaN","NaN","NaN"
2012-07-10,1.26,0.35,100.14,0,36.67,16.78,15.38,20.04,77.69,965.01,0.97,204.71,214.92,1.28,0.37,95.07,0,44.13,19.25,17.16,110.67,0,9.82,1.5,"NaN","NaN","NaN","NaN","NaN"
2012-07-11,1.26,0.24,77.91,0,21.89,11.08,12.03,18.42,64.82,966.74,1.44,157.4,115.67,1.22,0.33,74.39,0,36.35,24.59,11.38,83.82,0,9.15,1.77,"NaN","NaN","NaN","NaN","NaN"
2012-07-12,1.38,0.22,71.78,0,20.77,9.04,10.8,17.23,59.97,968.48,1.61,158.91,15.73,1.38,0.31,73.05,0,33.1,24.84,9.43,71.74,0,9.54,1.66,"NaN","NaN","NaN","NaN","NaN"
2012-07-13,1.45,0.23,82.22,0,24.97,8.69,12.08,18.08,67.47,961.51,1.8,196.53,350,1.56,0.3,84.36,0,31.62,16.87,10.02,85.03,0,11.72,1.87,"NaN","NaN","NaN","NaN","NaN"
2012-07-14,1.5,0.17,80.11,0,8.43,2.85,7.4,19.77,56.62,960.86,2.88,267.66,3.05,1.27,0.27,77.17,0,19.29,9.81,7.88,80.73,0,3.48,1.08,"NaN","NaN","NaN","NaN","NaN"
2012-07-15,1.46,0.16,65.89,0,7.87,2.65,6.2,15.53,72.09,967.95,2.03,179.56,376.83,1.3,0.23,67.56,0,12.64,5.32,5.65,65.7,0,4.15,1.17,"NaN","NaN","NaN","NaN","NaN"
2012-07-16,1.67,0.2,79,0,16.75,6.75,8.49,16.9,56.03,976.05,1.66,291.74,19.65,2.01,0.32,71.06,0,33.59,20.53,8.23,84.5,0,7.36,1.87,"NaN","NaN","NaN","NaN","NaN"
2012-07-17,1.61,0.17,81.91,0,11.08,3.78,11.21,20.03,51.99,975.68,2.82,325.29,0,1.59,0.29,78.12,0,25.51,14.31,11.93,86.89,0,6.34,1.59,"NaN","NaN","NaN","NaN","NaN"
2012-07-18,1.6,0.28,90.63,0,25.3,9.66,18.29,22.21,57.09,969.71,1.42,303.36,0,1.68,0.37,83.53,0,39.21,17.61,"NaN",100.98,0,7.85,2.27,"NaN","NaN","NaN","NaN","NaN"
2012-07-19,1.59,0.25,85.36,0,22.4,7.6,15.33,21.55,58.68,964.19,1.85,248.6,0,1.56,0.36,70.86,0,42.04,22.76,"NaN",91.09,0,8.48,1.53,"NaN","NaN","NaN","NaN","NaN"
2012-07-20,1.58,0.24,69.59,0,24.92,11.97,11.78,17.93,69.27,966.22,1.27,87.09,380.62,1.47,0.37,65.7,0,42.2,31.12,14.22,73.88,0,9.81,1.75,"NaN","NaN","NaN","NaN","NaN"
2012-07-21,1.53,0.21,74.84,0,14.63,5.74,8.09,14.56,85.9,970.11,1.36,102.7,474.18,1.39,0.28,65.64,0,24.44,10.62,8.76,80.81,0,4.55,1.27,"NaN","NaN","NaN","NaN","NaN"
2012-07-22,1.71,0.19,82.46,0,12.07,4.91,9,15.68,64.8,974.15,2.12,281.28,0,1.62,0.25,86.29,0,15.99,7,9.2,86.67,0,3.67,1.11,"NaN","NaN","NaN","NaN","NaN"
2012-07-23,1.92,0.23,89.46,0,18.79,9.97,10.91,17.71,54.04,971.64,2.97,309.11,0,1.83,0.29,94.43,0,26.52,18.73,11.64,100.92,0,5.56,1.48,"NaN","NaN","NaN","NaN","NaN"
2012-07-24,2.04,0.33,120.43,1,36.28,11.72,23.5,21.05,59.08,966.85,1,311.81,0,2.15,0.44,119.22,0,53.02,26.36,24.75,127.9,5,12.87,2.2,"NaN","NaN","NaN","NaN","NaN"
2012-07-25,1.74,0.38,141.49,4,37,9.8,30.86,22.99,66.23,965.95,1.08,203.78,33.55,1.69,0.43,137.44,4,46.22,14.14,27.52,151.75,5,12.51,1.76,"NaN","NaN","NaN","NaN","NaN"
2012-07-26,1.14,0.38,125.14,4,36.07,11.73,29.48,24.51,57.43,966.95,1.18,311.73,0,1.72,0.41,135.56,7,46.99,14.36,30.53,144.48,10,7.54,1.44,"NaN","NaN","NaN","NaN","NaN"
2012-07-27,0.43,0.35,158.46,8,36.1,11.26,32.89,26.06,52.65,963.92,1.26,278.89,18.72,1.82,0.42,142.17,8,42.64,12.79,30.78,153.87,9,8.55,1.48,"NaN","NaN","NaN","NaN","NaN"
2012-07-28,0.28,0.22,102.97,0,15.79,3.42,25.77,22.37,66.84,962.32,1.92,142.47,346.63,1.7,0.27,101.92,0,22.64,5.16,"NaN",102.72,0,5.75,1.12,"NaN","NaN","NaN","NaN","NaN"
2012-07-29,0.3,0.2,81.46,0,9.79,2.49,13.47,18.37,78.41,965.64,1.33,66.33,263.63,1.57,0.25,82.01,0,15.21,3.74,12.72,79.02,0,4.67,1.13,"NaN","NaN","NaN","NaN","NaN"
2012-07-30,0.73,0.25,96.25,0,19.95,7.71,15.25,19.49,61.18,969.04,1.11,264.81,0,1.95,0.4,85.91,0,38.42,26.78,16.3,97.91,0,8.1,2.04,"NaN","NaN","NaN","NaN","NaN"
2012-07-31,1.08,0.32,110.94,0,30.6,13.47,17.23,21.18,59.42,968.84,1.06,280.13,0,2,0.42,94.73,0,43.83,26.91,"NaN",115.83,0,10.45,2.78,"NaN","NaN","NaN","NaN","NaN"
2012-08-01,1.4,0.33,116.43,0,20.55,4.83,40.46,23.65,58.51,964.64,1.39,294.93,13.2,2.89,0.41,128.79,4,29.01,6.02,39.99,123.37,3,6.31,1.18,"NaN","NaN","NaN","NaN","NaN"
